	val_nre	test_nre	time
2044	0.27772804616969704	0.2950949126142192	0.002835988998413086
2045	0.2777097785084014	0.29501360521396025	0.0020360946655273438
2046	0.2775173278049194	0.2947684974701757	0.002828836441040039
2047	0.277428112614211	0.2947661094419023	0.002009868621826172
2048	0.2771330737520864	0.2945321865295916	0.002820730209350586
2049	0.2768361726781473	0.29424228104977623	0.0020134449005126953
2050	0.2767447898926665	0.29418478651541136	0.002824068069458008
2051	0.2767095522836814	0.29411863644842423	0.0023381710052490234
2052	0.2764262399100189	0.2938423948270506	0.0028209686279296875
2053	0.27608400381577525	0.29353469924352454	0.0024645328521728516
2054	0.27578876797828256	0.293202909704454	0.0028319358825683594
2055	0.275489458210117	0.2928686898401554	0.002833127975463867
2056	0.27523297020799753	0.2925814928070962	0.002063751220703125
2057	0.27489220775336604	0.29220809398405473	0.0021331310272216797
2058	0.27453488837170603	0.29186666452067667	0.0020647048950195312
2059	0.2745162519594393	0.29170704116565965	0.0031812191009521484
2060	0.27450634207757146	0.29173012435412043	0.002010345458984375
2061	0.27484167277253374	0.2920813524246945	0.00447392463684082
2062	0.27520375728080265	0.29241207689566573	0.002716541290283203
2063	0.2752953019681865	0.29253248976691715	0.0031554698944091797
2064	0.2752822348552305	0.29253122650433977	0.002344846725463867
2065	0.27523963610463303	0.2924481941069162	0.0031964778900146484
2066	0.27517469829618774	0.29245203737434794	0.002023458480834961
2067	0.27548762168628044	0.29239387575224973	0.004441261291503906
2068	0.2754103904766103	0.29216474518268115	0.0027577877044677734
2069	0.27508020098276414	0.2919045787407411	0.0020303726196289062
2070	0.27492874430580416	0.29179654425148105	0.0020933151245117188
2071	0.2746462843919137	0.2914962915893668	0.002850770950317383
2072	0.2743667514196168	0.2912439580347359	0.00202178955078125
2073	0.2740132013801567	0.2909478967509155	0.0028378963470458984
2074	0.2738589341375778	0.2908828608864031	0.001999378204345703
2075	0.27363116408820853	0.2906394035527737	0.0028290748596191406
2076	0.273399554701615	0.29039627857525946	0.0020799636840820312
2077	0.2730762890251661	0.2901184159406436	0.0028290748596191406
2078	0.2727960585188054	0.2897976452302153	0.002632617950439453
2079	0.2724707771261436	0.2894925921404467	0.0032281875610351562
2080	0.27223498617017616	0.28927317937778757	0.0024518966674804688
2081	0.2724380554082303	0.28947003771321905	0.0032129287719726562
2082	0.27247160317864944	0.28943746244533053	0.0024461746215820312
2083	0.2723233115750783	0.28929991565387986	0.0028667449951171875
2084	0.27231806403537256	0.2893001532366384	0.002401113510131836
2085	0.27246454491837674	0.28946617098525557	0.0030612945556640625
2086	0.272841382869001	0.28987716961599547	0.0029816627502441406
2087	0.2734041126227406	0.2904475487874182	0.0030663013458251953
2088	0.27394044136688006	0.2910040573135645	0.002844095230102539
2089	0.27452621999831134	0.2916108979943969	0.0030715465545654297
2090	0.27508764377295586	0.29215907753855963	0.0030629634857177734
2091	0.275547526068602	0.2926382769150521	0.003041505813598633
2092	0.2759352332787029	0.2930151457475663	0.0030362606048583984
2093	0.2761837232496328	0.2932671340849512	0.002566814422607422
2094	0.2763033438717074	0.2934050155290692	0.0030710697174072266
2095	0.2764061688972214	0.2934883164915149	0.003240346908569336
2096	0.2764666807568914	0.29349752340740726	0.003231048583984375
2097	0.27656619674727106	0.293410584712395	0.002824068069458008
2098	0.2765409446456368	0.29340692596930196	0.003200054168701172
2099	0.2765034513189398	0.29339953034555677	0.002727985382080078
2100	0.27651971550155724	0.2934338120756451	0.003195047378540039
2101	0.2764869697216235	0.2934097644271127	0.0030307769775390625
2102	0.2764872692772641	0.2934280196573945	0.003215789794921875
2103	0.2765931035993429	0.29355451728909504	0.002972841262817383
2104	0.2766289294885469	0.2936927247632355	0.003175497055053711
2105	0.27669855042165964	0.29374417955100207	0.0032033920288085938
2106	0.27666333241747304	0.29373239172841026	0.0031881332397460938
2107	0.2765941056599621	0.29367789026742874	0.002735614776611328
